R;ADC;T
1218.61;442;133.77;
1221.36;443;134.17;
1229.64;446;135.36;
1224.12;444;134.57;
1226.88;445;134.97;
1229.64;446;135.36;
1226.88;445;134.97;
1224.12;444;134.57;
1226.88;445;134.97;
1226.88;445;134.97;
1235.15;448;136.16;
1229.64;446;135.36;
1229.64;446;135.36;
1235.15;448;136.16;
1229.64;446;135.36;
1232.39;447;135.76;
1235.15;448;136.16;
1232.39;447;135.76;
1237.91;449;136.56;
1235.15;448;136.16;
1232.39;447;135.76;
1235.15;448;136.16;
1235.15;448;136.16;
1232.39;447;135.76;
1235.15;448;136.16;
1237.91;449;136.56;
1243.42;451;137.35;
1237.91;449;136.56;
1243.42;451;137.35;
1240.66;450;136.95;
1243.42;451;137.35;
1248.93;453;138.14;
1243.42;451;137.35;
1246.18;452;137.75;
1243.42;451;137.35;
1248.93;453;138.14;
1248.93;453;138.14;
1254.45;455;138.93;
1254.45;455;138.93;
1251.69;454;138.54;
1254.45;455;138.93;
1254.45;455;138.93;
1257.21;456;139.32;
1257.21;456;139.32;
1259.96;457;139.72;
1262.72;458;140.11;
1262.72;458;140.11;
1265.48;459;140.50;
1259.96;457;139.72;
1259.96;457;139.72;
1262.72;458;140.11;
1262.72;458;140.11;
1262.72;458;140.11;
1262.72;458;140.11;
1265.48;459;140.50;
1265.48;459;140.50;
1268.23;460;140.89;
1270.99;461;141.29;
1276.50;463;142.07;
1270.99;461;141.29;
1273.75;462;141.68;
1276.50;463;142.07;
1273.75;462;141.68;
1270.99;461;141.29;
1273.75;462;141.68;
1273.75;462;141.68;
1276.50;463;142.07;
1273.75;462;141.68;
1273.75;462;141.68;
1273.75;462;141.68;
1273.75;462;141.68;
1279.26;464;142.46;
1279.26;464;142.46;
1282.02;465;142.85;
1282.02;465;142.85;
1282.02;465;142.85;
1284.78;466;143.24;
1287.53;467;143.62;
1287.53;467;143.62;
1284.78;466;143.24;
1287.53;467;143.62;
1287.53;467;143.62;
1290.29;468;144.01;
1287.53;467;143.62;
1290.29;468;144.01;
1290.29;468;144.01;
1293.05;469;144.40;
1295.80;470;144.79;
1293.05;469;144.40;
1295.80;470;144.79;
1295.80;470;144.79;
1295.80;470;144.79;
1304.08;473;145.94;
1295.80;470;144.79;
1298.56;471;145.17;
1301.32;472;145.56;
1298.56;471;145.17;
1301.32;472;145.56;
1306.83;474;146.33;
1298.56;471;145.17;
1304.08;473;145.94;
1301.32;472;145.56;
1304.08;473;145.94;
1309.59;475;146.71;
1304.08;473;145.94;
1306.83;474;146.33;
1309.59;475;146.71;
1306.83;474;146.33;
1306.83;474;146.33;
1304.08;473;145.94;
1309.59;475;146.71;
1312.35;476;147.10;
1312.35;476;147.10;
1315.10;477;147.48;
1312.35;476;147.10;
1312.35;476;147.10;
1317.86;478;147.87;
1312.35;476;147.10;
1315.10;477;147.48;
1312.35;476;147.10;
1317.86;478;147.87;
1315.10;477;147.48;
1320.62;479;148.25;
1317.86;478;147.87;
1317.86;478;147.87;
1320.62;479;148.25;
1320.62;479;148.25;
1323.37;480;148.63;
1320.62;479;148.25;
1320.62;479;148.25;
1323.37;480;148.63;
1323.37;480;148.63;
1328.89;482;149.39;
1326.13;481;149.01;
1326.13;481;149.01;
1328.89;482;149.39;
1328.89;482;149.39;
1328.89;482;149.39;
1328.89;482;149.39;
1331.65;483;149.78;
1328.89;482;149.39;
1328.89;482;149.39;
1331.65;483;149.78;
1337.16;485;150.54;
1331.65;483;149.78;
1337.16;485;150.54;
1339.92;486;150.92;
1339.92;486;150.92;
1345.43;488;151.68;
1339.92;486;150.92;
1339.92;486;150.92;
1345.43;488;151.68;
1342.67;487;151.30;
1342.67;487;151.30;
